start,end
5971910815257,5971911077236
5971911814339,5971912123983
5971912822734,5971913129342
5971913837186,5971914155960
5971914822101,5971915126616
5971915901959,5971916557748
5971916907484,5971917508589
5971917904603,5971918437097
5971918896406,5971919538121
5971919899080,5971920536554
5971920904494,5971921439099
5971921891298,5971922410385
5971922906398,5971923431132
5971923976441,5971924649544
5971924924763,5971925462831
5971925834475,5971926140935
5971926828983,5971927121868
5971927823471,5971928142616
5971928827663,5971929124938
5971929824060,5971930108871
5971930821585,5971931098193
5971931821629,5971932330013
5971932862118,5971933245521
5971933831107,5971934217917
5971934828614,5971935148406
5971935910842,5971936704500
5971936908572,5971937579008
5971937907968,5971938465072
5971938915271,5971939594078
5971939902463,5971940522308
5971940905952,5971941451668
5971941890756,5971942413157
5971942889041,5971943417942
5971943896270,5971944529374
5971944916406,5971945465733
5971945874044,5971946218336
5971946829940,5971947142733
5971947823003,5971948166943
5971948835269,5971949153617
5971949822554,5971950119477
5971950825043,5971951118095
5971951821087,5971952159472
5971952827224,5971953132517
5971953825398,5971954188338
5971954840349,5971955176734
5971955935392,5971956704791
5971956921677,5971957583262
5971957893444,5971958481382
5971958873192,5971959521740
5971959905773,5971960532229
5971960900299,5971961438274
5971961892084,5971962421966
5971962909072,5971963432288
5971963893357,5971964695144
5971964920660,5971965478247
5971965872798,5971966198757
5971966824250,5971967123524
5971967817757,5971968166957
5971968828838,5971969194982
5971969827438,5971970144249
5971970815871,5971971187219
5971971853118,5971972291484
5971972838922,5971973182881
5971973821226,5971974143833
5971974821511,5971975161396
5971975824481,5971976205032
5971976830117,5971977167132
5971977823828,5971978141714
5971978817891,5971979134850
5971979819935,5971980160061
5971980824794,5971981119624
5971981816116,5971982093150
5971982811846,5971983087194
5971983817890,5971984110201
5971984813804,5971985179578
5971985821015,5971986100808
5971986937799,5971987521199
5971987911751,5971988571206
5971988912184,5971989476048
5971989903543,5971990476240
5971990905679,5971991449673
5971991894779,5971992771251
5971992924897,5971993501761
5971993901756,5971994522509
5971994907393,5971995568089
5971995903252,5971996523893
5971996854482,5971997171738
5971997827138,5971998117264
5971998829608,5971999116012
5971999818615,5972000141074
5972000822178,5972001100341
5972001814963,5972002100071
5972002817988,5972003102763
5972003818533,5972004195454
5972004839651,5972005177332
5972005827547,5972006122877
5972006931034,5972007605508
5972007909097,5972008510887
5972008907586,5972009635300
5972009915389,5972010490105
5972010901100,5972011419520
5972011895163,5972012479582
5972012921781,5972013439460
5972013888529,5972014421190
5972014906814,5972015541677
5972015902339,5972016541054
5972016870014,5972017212065
5972017832206,5972018141758
5972018830214,5972019131099
5972019827480,5972020215253
5972020841376,5972021170002
5972021831235,5972022128472
5972022822039,5972023108813
5972023820194,5972024220486
5972024828219,5972025211734
5972025837967,5972026181111
5972026921103,5972027499448
5972027898055,5972028535362
5972028908599,5972029630424
5972029914754,5972030491211
5972030906521,5972031465811
5972031900269,5972032628853
5972032904720,5972033454529
5972033904838,5972034469647
5972034897994,5972035511413
5972035982315,5972036715880
5972036894397,5972037489279
5972037837775,5972038153012
5972038827616,5972039119057
5972039813327,5972040114212
5972040809704,5972041099127
5972041815693,5972042122152
5972042815681,5972043103882
5972043806837,5972044145555
5972044837233,5972045153025
5972045819610,5972046122903
5972046836099,5972047142966
5972047899920,5972048677504
5972048894020,5972049604382
5972049892786,5972050461724
5972050881145,5972051414824
5972051887949,5972052557848
5972052912918,5972053486782
5972053887907,5972054454086
5972054900674,5972055471500
5972055886033,5972056686357
5972056911003,5972057474589
5972057867288,5972058217284
5972058822444,5972059102922
5972059808858,5972060153595
5972060828791,5972061133306
5972061822502,5972062100592
5972062809398,5972063090821
5972063810554,5972064144735
5972064820709,5972065136835
5972065816179,5972066121416
5972066814853,5972067131923
5972067818934,5972068164171
5972068913588,5972069634469
5972069902633,5972070482089
5972070892232,5972071517892
5972071897795,5972072537491
5972072902506,5972073451333
5972073892254,5972074422803
5972074895187,5972075419644
5972075893435,5972076508743
5972076935923,5972077616378
5972077917930,5972078485998
5972078861123,5972079222823
5972079814094,5972080134201
5972080824508,5972081132171
5972081817497,5972082096994
5972082814782,5972083076168
5972083818308,5972084186433
5972084824352,5972085123830
5972085813970,5972086092263
5972086811811,5972087097492
5972087834114,5972088177295
5972088817806,5972089117599
5972089897201,5972090474398
5972090890968,5972091498331
5972091908975,5972092525153
5972092921667,5972093512031
5972093911211,5972094484112
5972094899293,5972095431175
5972095888559,5972096566366
5972096886140,5972097456634
5972097875648,5972098430919
5972098897729,5972099514647
5972099819403,5972100188603
5972100833188,5972101164573
5972101820381,5972102133729
5972102813999,5972103120940
5972103813858,5972104164187
5972104829661,5972105143380
5972105819335,5972106118887
5972106816250,5972107127728
5972107815035,5972108269826
5972108837875,5972109160278
5972109812771,5972110120027
5972110811260,5972111105793
5972111815156,5972112131485
5972112814589,5972113102215
5972113815559,5972114095500
5972114812955,5972115100433
5972115807592,5972116128162
5972116820543,5972117128706
5972117806995,5972118118158
5972118818817,5972119124073
5972119889897,5972120545927
5972120872812,5972121402732
5972121892430,5972122432739
5972122883196,5972123411172
5972123879981,5972124479475
5972124899433,5972125436204
5972125886496,5972126409286
5972126894632,5972127445533
5972127884528,5972128582446
5972128892906,5972129559824
5972129849043,5972130202909
5972130831347,5972131142251
5972131815002,5972132228516
5972132834102,5972133167228
5972133817720,5972134128772
5972134818357,5972135129057
5972135816086,5972136172767
5972136826630,5972137157108
5972137816193,5972138150078
5972138820663,5972139143937
5972139901966,5972140562921
5972140908565,5972141497262
5972141905147,5972142496381
5972142901821,5972143498147
5972143890957,5972144554265
5972144896964,5972145466051
5972145891620,5972146422243
5972146896090,5972147441861
5972147889782,5972148557238
5972148902512,5972149483523
5972149861075,5972150233830
5972150820934,5972151108912
5972151815664,5972152144252
5972152820097,5972153121167
5972153817937,5972154095712
5972154828833,5972155106941
5972155815766,5972156218151
5972156832773,5972157160084
5972157829651,5972158202517
5972158830621,5972159150284
5972159930849,5972160744747
5972160923838,5972161558201
5972161909234,5972162489375
5972162885538,5972163435217
5972163882045,5972164705184
5972164924218,5972165529396
5972165902114,5972166463349
5972166896640,5972167482763
5972167869314,5972168531677
5972168906247,5972169483518
5972169903124,5972170494599
5972170846780,5972171300812
5972171815010,5972172166395
5972172834591,5972173136254
5972173819747,5972174113169
5972174818550,5972175098843
5972175815798,5972176165627
5972176821453,5972177139746
5972177826627,5972178129753
5972178822264,5972179175797
5972179819345,5972180186878
5972180899277,5972181551307
5972181909377,5972182521759
5972182912199,5972183467248
5972183893743,5972184679142
5972184905361,5972185494447
5972185892609,5972186443029
5972186899468,5972187437943
5972187885827,5972188505783
5972188897445,5972189564660
5972189893675,5972190446668
5972190839979,5972191172679
5972191819116,5972192170371
5972192826549,5972193135508
5972193828834,5972194119201
5972194811248,5972195087542
5972195810182,5972196122067
5972196816226,5972197136129
5972197814714,5972198108748
5972198812851,5972199099959
5972199815099,5972200171410
5972200903920,5972201598190
5972201899742,5972202493568
5972202874823,5972203413817
5972203903145,5972204597341
5972204911393,5972205444442
