time,elapsed_time,compute_time
3736958850,962,290
3736959828,978,124
3736960828,1000,124
3736961827,999,124
3736962827,1000,124
3736963827,1000,124
3736964828,1001,124
3736965827,999,124
3736966827,1000,124
3736967827,1000,124
3736968831,1004,124
3736969827,996,124
3736970842,1015,290
3736971843,1001,326
3736972844,1001,290
3736973842,998,290
3736974842,1000,290
3736975842,1000,316
3736976844,1002,290
3736977842,998,290
3736978841,999,290
3736979843,1002,318
3736980843,1000,290
3736981844,1001,290
3736982844,1000,290
3736983844,1000,314
3736984845,1001,290
3736985844,999,290
3736986844,1000,290
3736987844,1000,313
3736988845,1001,290
3736989844,999,290
3736990844,1000,290
3736991844,1000,312
3736992845,1001,290
3736993844,999,290
3736994844,1000,290
3736995844,1000,315
3736996843,999,290
3736997842,999,290
3736998842,1000,290
3736999844,1002,313
3737000845,1001,290
3737001844,999,290
3737002844,1000,290
3737003844,1000,314
3737004845,1001,290
3737005844,999,290
3737006843,999,290
3737007844,1001,312
3737008845,1001,290
3737009844,999,290
3737010845,1001,290
3737011845,1000,315
3737012845,1000,290
3737013844,999,290
3737014841,997,290
3737015842,1001,315
3737016843,1001,290
3737017843,1000,290
3737018844,1001,290
3737019844,1000,315
3737020846,1002,290
3737021844,998,290
3737022843,999,290
3737023844,1001,312
3737024845,1001,290
3737025844,999,290
3737026843,999,290
3737027844,1001,315
3737028845,1001,290
3737029844,999,290
3737030843,999,290
3737031844,1001,312
3737032843,999,290
3737033842,999,290
3737034841,999,290
3737035844,1003,314
3737036845,1001,290
3737037844,999,290
3737038844,1000,290
3737039844,1000,312
3737040845,1001,290
3737041843,998,290
3737042843,1000,290
3737043845,1002,314
3737044845,1000,290
3737045844,999,290
3737046843,999,290
3737047844,1001,312
3737048845,1001,290
3737049843,998,290
3737050841,998,290
3737051842,1001,326
3737052843,1001,290
3737053844,1001,290
3737054844,1000,290
3737055844,1000,312
3737056845,1001,290
3737057844,999,290
3737058844,1000,290
3737059844,1000,319
3737060846,1002,290
3737061844,998,290
3737062843,999,290
3737063844,1001,308
3737064844,1000,290
3737065844,1000,290
3737066844,1000,290
3737067844,1000,314
3737068843,999,290
3737069841,998,290
3737070841,1000,290
3737071844,1003,312
