time,elapsed_time,compute_time
4214830744,943,101
4214831727,983,97
4214832724,997,97
4214833723,999,96
4214834722,999,96
4214835722,1000,96
4214836722,1000,96
4214837723,1001,96
4214838723,1000,96
4214839722,999,96
4214840723,1001,97
4214841723,1000,96
4214842723,1000,96
4214843723,1000,96
4214844724,1001,97
4214845723,999,96
4214846723,1000,96
4214847722,999,96
4214848723,1001,97
4214849723,1000,96
4214850723,1000,96
4214851722,999,96
4214852742,1020,101
4214853739,997,100
4214854727,988,97
4214855723,996,97
4214856723,1000,97
4214857723,1000,96
4214858723,1000,96
4214859722,999,96
4214860725,1003,97
4214861723,998,96
4214862723,1000,96
4214863722,999,96
4214864724,1002,97
4214865723,999,96
4214866723,1000,96
4214867722,999,96
4214868725,1003,97
4214869724,999,96
4214870724,1000,96
4214871724,1000,96
4214872724,1000,96
4214873723,999,96
4214874723,1000,96
4214875722,999,96
4214876724,1002,97
4214877724,1000,96
4214878724,1000,96
4214879724,1000,96
4214880725,1001,96
4214881724,999,96
4214882724,1000,96
4214883724,1000,96
4214884724,1000,96
4214885725,1001,97
4214886724,999,96
4214887724,1000,96
4214888724,1000,96
4214889722,998,96
4214890722,1000,96
4214891722,1000,96
4214892723,1001,96
4214893723,1000,96
4214894723,1000,96
4214895722,999,96
4214896725,1003,97
4214897724,999,96
4214898725,1001,97
4214899745,1020,98
4214900738,993,100
4214901728,990,96
4214902725,997,96
4214903724,999,96
4214904725,1001,96
4214905724,999,96
4214906724,1000,96
4214907723,999,96
4214908724,1001,96
4214909724,1000,96
4214910724,1000,96
4214911725,1001,97
4214912724,999,96
4214913725,1001,96
4214914724,999,96
4214915724,1000,96
4214916724,1000,96
4214917724,1000,96
4214918724,1000,96
4214919724,1000,96
4214920725,1001,96
4214921723,998,96
4214922723,1000,96
4214923722,999,96
4214924724,1002,97
4214925724,1000,96
4214926724,1000,96
4214927723,999,96
4214928724,1001,97
4214929723,999,97
4214930724,1001,96
4214931723,999,96
4214932723,1000,96
4214933729,1006,97
4214934726,997,97
4214935724,998,97
4214936725,1001,97
4214937723,998,97
4214938723,1000,96
4214939722,999,96
4214940725,1003,97
4214941724,999,96
4214942724,1000,96
4214943724,1000,96
4214944724,1000,96
4214945724,1000,96
4214946724,1000,96
4214947723,999,96
4214948723,1000,96
4214949723,1000,96
4214950724,1001,96
4214951723,999,96
4214952724,1001,96
4214953724,1000,96
4214954724,1000,96
4214955724,1000,96
4214956724,1000,96
4214957724,1000,96
4214958724,1000,96
4214959724,1000,96
4214960724,1000,96
4214961724,1000,96
4214962724,1000,96
4214963724,1000,96
4214964724,1000,96
4214965724,1000,96
4214966724,1000,96
4214967723,999,96
4214968724,1001,96
4214969723,999,96
4214970724,1001,96
4214971724,1000,96
4214972724,1000,96
4214973724,1000,96
4214974724,1000,96
4214975724,1000,96
4214976724,1000,96
4214977724,1000,96
4214978724,1000,96
4214979724,1000,96
4214980724,1000,96
4214981724,1000,96
4214982724,1000,96
4214983724,1000,96
4214984724,1000,96
4214985724,1000,96
4214986724,1000,96
4214987723,999,96
4214988723,1000,96
4214989724,1001,96
4214990723,999,96
4214991724,1001,96
4214992724,1000,96
4214993724,1000,96
4214994724,1000,96
4214995724,1000,96
4214996724,1000,96
4214997724,1000,96
4214998724,1000,96
4214999724,1000,96
4215000724,1000,96
4215001724,1000,96
4215002724,1000,96
4215003724,1000,96
4215004724,1000,96
4215005724,1000,96
4215006724,1000,96
4215007724,1000,96
4215008724,1000,96
4215009723,999,96
4215010724,1001,96
4215011724,1000,96
4215012724,1000,96
4215013725,1001,97
4215014724,999,96
4215015724,1000,96
4215016724,1000,96
4215017724,1000,96
4215018723,999,96
4215019751,1028,102
4215020727,976,97
4215021740,1013,101
4215022726,986,97
4215023723,997,97
4215024724,1001,97
4215025723,999,97
4215026723,1000,97
4215027722,999,97
4215028722,1000,97
4215029722,1000,97
4215030723,1001,97
4215031722,999,97
4215032724,1002,97
4215033724,1000,97
4215034724,1000,97
4215035724,1000,97
4215036753,1029,101
4215037733,980,97
4215038741,1008,100
4215039727,986,96
4215040725,998,97
4215041724,999,96
4215042724,1000,96
4215043724,1000,96
4215044725,1001,96
4215045724,999,96
4215046724,1000,96
4215047724,1000,96
4215048725,1001,97
4215049724,999,96
4215050724,1000,96
4215051724,1000,96
4215052724,1000,96
4215053724,1000,96
4215054724,1000,96
4215055724,1000,96
4215056725,1001,97
4215057724,999,96
4215058724,1000,96
4215059724,1000,96
4215060724,1000,97
4215061724,1000,96
4215062724,1000,96
4215063724,1000,96
4215064724,1000,97
4215065724,1000,96
4215066724,1000,96
4215067724,1000,96
4215068724,1000,96
4215069724,1000,96
4215070724,1000,96
4215071724,1000,96
4215072724,1000,97
4215073724,1000,96
4215074724,1000,96
4215075724,1000,96
4215076723,999,97
4215077723,1000,96
4215078723,1000,96
4215079722,999,96
4215080724,1002,97
4215081723,999,96
4215082723,1000,96
4215083723,1000,96
4215084729,1006,97
4215085726,997,96
4215086724,998,96
4215087724,1000,96
4215088724,1000,97
4215089724,1000,96
4215090724,1000,96
4215091723,999,96
4215092724,1001,96
4215093724,1000,96
4215094724,1000,96
4215095723,999,96
4215096724,1001,97
4215097724,1000,96
4215098724,1000,96
4215099724,1000,96
4215100723,999,96
4215101724,1001,96
4215102723,999,96
4215103724,1001,96
4215104724,1000,97
4215105724,1000,96
4215106724,1000,96
4215107724,1000,96
4215108724,1000,96
4215109724,1000,96
4215110724,1000,96
4215111723,999,96
4215112724,1001,97
4215113724,1000,96
4215114724,1000,96
4215115724,1000,96
4215116724,1000,96
4215117724,1000,96
4215118724,1000,96
4215119724,1000,96
4215120724,1000,96
4215121723,999,96
4215122723,1000,96
4215123724,1001,96
4215124724,1000,96
4215125724,1000,96
4215126724,1000,96
4215127724,1000,96
4215128724,1000,97
4215129724,1000,96
4215130724,1000,96
4215131723,999,96
4215132724,1001,96
4215133724,1000,96
4215134724,1000,96
4215135724,1000,96
4215136724,1000,97
4215137724,1000,96
4215138724,1000,96
4215139723,999,96
4215140723,1000,96
4215141723,1000,97
4215142728,1005,97
4215143725,997,96
4215144724,999,97
4215145724,1000,96
4215146724,1000,96
4215147724,1000,96
4215148724,1000,96
4215149724,1000,96
4215150724,1000,96
4215151723,999,96
4215152724,1001,97
4215153724,1000,96
4215154724,1000,96
4215155724,1000,96
4215156724,1000,96
4215157724,1000,96
4215158724,1000,96
4215159724,1000,96
4215160724,1000,97
4215161723,999,96
4215162723,1000,96
4215163724,1001,96
4215164724,1000,96
4215165724,1000,96
4215166724,1000,96
4215167724,1000,96
4215168724,1000,97
4215169724,1000,96
4215170724,1000,96
4215171723,999,96
4215172724,1001,96
4215173724,1000,96
4215174724,1000,96
4215175724,1000,96
4215176724,1000,97
4215177724,1000,96
4215178724,1000,96
4215179724,1000,96
4215180723,999,96
4215181723,1000,96
4215182724,1001,97
4215183724,1000,96
4215184724,1000,97
4215185724,1000,96
4215186724,1000,96
4215187724,1000,96
4215188724,1000,96
4215189724,1000,96
4215190724,1000,96
4215191723,999,96
4215192724,1001,97
4215193724,1000,96
4215194724,1000,96
4215195724,1000,96
4215196724,1000,96
4215197724,1000,96
4215198724,1000,96
4215199724,1000,96
4215200724,1000,97
4215201723,999,96
4215202723,1000,96
4215203724,1001,96
4215204723,999,96
4215205734,1011,99
4215206726,992,97
4215207723,997,97
4215208724,1001,97
4215209723,999,97
4215210723,1000,97
4215211722,999,97
4215212723,1001,97
4215213723,1000,97
4215214723,1000,97
4215215722,999,97
4215216724,1002,97
4215217723,999,97
4215218723,1000,97
4215219722,999,97
4215220723,1001,97
4215221722,999,97
4215222723,1001,97
4215223722,999,97
4215224723,1001,97
4215225723,1000,97
4215226723,1000,97
4215227723,1000,97
4215228726,1003,97
4215229725,999,97
4215230724,999,97
4215231724,1000,97
4215232725,1001,97
4215233724,999,97
4215234724,1000,97
4215235724,1000,97
4215236725,1001,97
4215237725,1000,97
4215238725,1000,97
4215239723,998,97
4215240724,1001,97
4215241724,1000,97
4215242724,1000,97
4215243724,1000,97
4215244724,1000,97
4215245724,1000,97
4215246724,1000,97
4215247724,1000,97
4215248725,1001,97
4215249723,998,97
4215250723,1000,97
4215251722,999,97
4215252732,1010,99
4215253728,996,97
4215254725,997,97
4215255724,999,97
4215256725,1001,97
4215257724,999,97
4215258724,1000,97
4215259723,999,97
4215260725,1002,97
4215261724,999,96
4215262724,1000,96
4215263724,1000,96
4215264725,1001,96
4215265724,999,96
