time,elapsed_time,compute_time
4197014534,917,145
4197015534,1000,146
4197016533,999,145
4197017531,998,145
4197018531,1000,145
4197019531,1000,145
4197020549,1018,159
4197021547,998,158
4197022545,998,158
4197023544,999,158
4197024546,1002,158
4197025544,998,158
4197026544,1000,158
4197027545,1001,158
4197028544,999,158
4197029546,1002,159
4197030563,1017,174
4197031561,998,174
4197032593,1032,179
4197033597,1004,186
4197034592,995,178
4197035566,974,174
4197036562,996,174
4197037561,999,174
4197038561,1000,174
4197039622,1061,233
4197040569,947,174
4197041587,1018,193
4197042586,999,193
4197043585,999,193
4197044586,1001,193
4197045585,999,193
4197046585,1000,193
4197047584,999,193
4197048585,1001,193
4197049622,1037,193
4197050586,964,193
4197051612,1026,217
4197052613,1001,217
4197053612,999,217
4197054611,999,217
4197055610,999,217
4197056614,1004,217
4197057612,998,217
4197058612,1000,217
4197059650,1038,218
4197060614,964,217
4197061648,1034,249
4197062646,998,248
4197063644,998,248
4197064646,1002,248
4197065646,1000,248
4197066646,1000,248
4197067645,999,248
4197068646,1001,248
4197069688,1042,249
4197070644,956,249
4197071687,1043,290
4197072688,1001,290
4197073686,998,290
4197074686,1000,290
4197075685,999,290
4197076699,1014,291
4197077692,993,290
4197078691,999,290
4197079692,1001,290
4197080697,1005,290
4197081693,996,290
4197082693,1000,290
4197083695,1002,290
4197084747,1052,300
4197085738,991,295
4197086707,969,291
4197087696,989,290
4197088693,997,290
4197089692,999,290
4197090691,999,290
4197091691,1000,290
4197092695,1004,291
4197093692,997,290
4197094652,960,249
4197095648,996,249
4197096647,999,248
4197097646,999,248
4197098645,999,248
4197099645,1000,248
4197100646,1001,248
4197101645,999,248
4197102696,1051,249
4197103647,951,249
4197104694,1047,290
4197105691,997,290
4197106691,1000,290
4197107689,998,290
4197108692,1003,290
4197109691,999,290
4197110691,1000,290
4197111690,999,290
4197112694,1004,290
4197113690,996,290
4197114688,998,290
4197115687,999,290
4197116688,1001,290
4197117688,1000,290
4197118688,1000,290
4197119687,999,290
4197120691,1004,290
4197121692,1001,290
4197122691,999,290
4197123753,1062,353
4197124693,940,290
4197125647,954,250
4197126645,998,248
4197127644,999,248
4197128648,1004,248
4197129645,997,248
4197130645,1000,248
4197131644,999,248
4197132646,1002,248
4197133645,999,248
4197134687,1042,249
4197135645,958,249
4197136693,1048,291
4197137690,997,290
4197138690,1000,290
4197139688,998,290
4197140693,1005,290
4197141691,998,290
4197142689,998,290
4197143688,999,290
4197144692,1004,290
4197145692,1000,290
4197146691,999,290
4197147690,999,290
4197148692,1002,290
4197149692,1000,290
4197150691,999,290
4197151691,1000,290
4197152694,1003,290
4197153693,999,290
4197154692,999,290
4197155692,1000,290
4197156691,999,290
4197157690,999,290
4197158705,1015,305
4197159692,987,290
4197160693,1001,290
4197161690,997,290
4197162692,1002,290
4197163691,999,290
4197164691,1000,290
4197165693,1002,290
4197166691,998,290
4197167690,999,290
4197168692,1002,290
4197169692,1000,290
4197170691,999,290
4197171690,999,290
4197172695,1005,290
4197173692,997,290
4197174692,1000,290
4197175690,998,290
4197176694,1004,290
4197177692,998,290
4197178689,997,290
4197179689,1000,290
4197180691,1002,290
4197181693,1002,290
4197182692,999,290
4197183691,999,290
4197184693,1002,290
4197185692,999,290
4197186691,999,290
4197187690,999,290
4197188694,1004,290
4197189691,997,290
4197190690,999,290
4197191734,1044,297
4197192733,999,295
4197193702,969,290
4197194737,1035,296
4197195703,966,292
4197196696,993,291
4197197693,997,290
4197198691,998,290
4197199690,999,290
4197200694,1004,290
4197201693,999,290
4197202692,999,290
4197203711,1019,292
4197204713,1002,292
4197205701,988,290
4197206693,992,290
4197207692,999,290
4197208693,1001,290
4197209693,1000,290
4197210692,999,290
4197211713,1021,294
4197212728,1015,294
4197213706,978,290
4197214692,986,290
4197215691,999,290
4197216695,1004,290
4197217695,1000,290
4197218694,999,290
4197219692,998,290
4197220696,1004,290
4197221694,998,290
4197222693,999,290
4197223692,999,290
4197224693,1001,290
4197225693,1000,290
4197226693,1000,290
4197227692,999,290
4197228695,1003,290
4197229693,998,290
4197230693,1000,290
4197231691,998,290
4197232695,1004,290
4197233691,996,290
4197234691,1000,290
4197235692,1001,290
4197236695,1003,290
4197237693,998,290
4197238693,1000,290
4197239691,998,290
4197240695,1004,290
4197241693,998,290
4197242693,1000,290
4197243692,999,290
4197244695,1003,290
4197245695,1000,290
4197246693,998,290
4197247691,998,290
4197248695,1004,290
4197249693,998,290
4197250692,999,290
4197251689,997,290
4197252691,1002,290
4197253691,1000,290
4197254693,1002,290
4197255691,998,290
4197256695,1004,291
4197257694,999,290
4197258693,999,290
4197259691,998,290
4197260695,1004,290
4197261693,998,290
4197262692,999,290
4197263692,1000,290
4197264695,1003,290
4197265692,997,290
4197266692,1000,290
4197267691,999,290
4197268695,1004,290
4197269691,996,290
4197270691,1000,290
4197271689,998,290
4197272695,1006,290
4197273693,998,290
4197274693,1000,290
4197275691,998,290
4197276695,1004,290
4197277694,999,290
4197278693,999,290
4197279691,998,290
4197280695,1004,290
4197281693,998,290
4197282693,1000,290
4197283694,1001,290
4197284695,1001,290
4197285693,998,290
4197286692,999,290
4197287689,997,290
4197288693,1004,290
4197289691,998,290
4197290693,1002,290
4197291691,998,290
4197292695,1004,290
4197293693,998,290
4197294692,999,290
4197295691,999,290
4197296695,1004,290
4197297693,998,290
4197298693,1000,290
4197299691,998,290
4197300694,1003,290
4197301693,999,290
4197302693,1000,290
4197303691,998,290
4197304695,1004,290
4197305693,998,290
4197306690,997,290
4197307690,1000,290
4197308693,1003,290
4197309692,999,290
4197310693,1001,290
4197311691,998,290
4197312695,1004,290
4197313694,999,290
4197314693,999,290
4197315691,998,290
4197316695,1004,290
4197317693,998,290
4197318692,999,290
4197319691,999,290
4197320695,1004,290
4197321693,998,290
4197322693,1000,290
4197323691,998,290
4197324693,1002,290
4197325693,1000,290
4197326691,998,290
4197327692,1001,290
4197328695,1003,290
4197329693,998,290
4197330692,999,290
4197331691,999,290
4197332695,1004,290
4197333693,998,290
4197334692,999,290
4197335692,1000,290
4197336695,1003,290
4197337693,998,290
4197338692,999,290
4197339691,999,290
4197340695,1004,290
4197341694,999,290
4197342693,999,290
4197343689,996,290
4197344693,1004,290
4197345693,1000,290
4197346692,999,290
4197347691,999,290
4197348695,1004,290
4197349693,998,290
4197350692,999,290
4197351691,999,290
4197352695,1004,290
4197353693,998,290
4197354693,1000,290
4197355692,999,290
4197356694,1002,290
4197357692,998,290
4197358692,1000,290
4197359691,999,290
4197360695,1004,290
4197361691,996,290
4197362691,1000,290
4197363689,998,290
4197364695,1006,290
4197365693,998,290
4197366692,999,290
4197367691,999,290
4197368696,1005,290
4197369693,997,290
4197370693,1000,290
4197371691,998,290
4197372694,1003,290
4197373694,1000,290
4197374693,999,290
4197375692,999,290
4197376696,1004,290
4197377693,997,290
4197378692,999,290
4197379689,997,290
4197380693,1004,290
4197381691,998,290
4197382693,1002,290
4197383691,998,290
4197384695,1004,290
4197385693,998,290
4197386693,1000,290
4197387691,998,290
4197388695,1004,290
4197389693,998,290
4197390693,1000,290
4197391693,1000,290
4197392694,1001,290
4197393693,999,290
4197394692,999,290
4197395691,999,290
4197396692,1001,290
4197397693,1001,290
4197398690,997,290
4197399689,999,290
4197400693,1004,290
4197401693,1000,290
4197402692,999,290
4197403691,999,290
4197404692,1001,290
4197405694,1002,290
4197406692,998,290
4197407691,999,290
4197408695,1004,290
4197409693,998,290
4197410692,999,290
4197411693,1001,290
4197412695,1002,290
4197413693,998,290
4197414692,999,290
4197415691,999,290
4197416692,1001,290
4197417691,999,290
4197418691,1000,290
4197419692,1001,290
4197420693,1001,290
4197421693,1000,290
4197422692,999,290
4197423691,999,290
4197424695,1004,290
4197425693,998,290
4197426693,1000,290
4197427691,998,290
4197428692,1001,290
4197429693,1001,290
4197430692,999,290
4197431691,999,290
4197432695,1004,290
4197433693,998,290
4197434690,997,290
4197435690,1000,290
4197436693,1003,290
4197437692,999,290
4197438693,1001,290
4197439691,998,290
4197440695,1004,290
4197441693,998,290
4197442692,999,290
4197443691,999,290
4197444695,1004,290
4197445693,998,290
4197446692,999,290
4197447691,999,290
4197448695,1004,290
4197449693,998,290
4197450692,999,290
4197451691,999,290
4197452695,1004,290
4197453693,998,290
4197454691,998,290
4197455691,1000,290
4197456695,1004,290
4197457693,998,290
4197458692,999,290
4197459691,999,290
4197460695,1004,290
4197461692,997,290
4197462692,1000,290
4197463691,999,290
4197464695,1004,290
4197465689,994,290
4197466688,999,290
4197467686,998,290
4197468695,1009,291
4197469692,997,290
4197470690,998,290
4197471689,999,290
4197472693,1004,290
4197473692,999,290
4197474691,999,290
4197475690,999,290
4197476693,1003,290
4197477692,999,290
4197478691,999,290
4197479690,999,290
4197480694,1004,290
4197481692,998,290
4197482691,999,290
4197483690,999,290
4197484694,1004,290
4197485692,998,290
4197486742,1050,295
4197487711,969,294
4197488692,981,291
4197489689,997,290
4197490688,999,290
4197491687,999,290
4197492688,1001,290
4197493688,1000,290
4197494688,1000,290
4197495686,998,290
4197496689,1003,291
4197497689,1000,290
4197498688,999,290
4197499698,1010,291
4197500695,997,290
4197501694,999,290
4197502697,1003,290
4197503690,993,290
4197504695,1005,290
4197505692,997,290
4197506693,1001,290
4197507691,998,290
4197508695,1004,290
4197509693,998,290
4197510692,999,290
4197511692,1000,290
4197512692,1000,290
4197513693,1001,290
4197514692,999,290
4197515691,999,290
4197516696,1005,290
4197517697,1001,291
4197518693,996,290
4197519691,998,290
4197520696,1005,290
4197521692,996,290
4197522692,1000,290
4197523690,998,290
4197524696,1006,290
4197525693,997,290
4197526693,1000,290
4197527691,998,290
4197528694,1003,290
4197529694,1000,290
4197530693,999,290
4197531691,998,290
4197532695,1004,290
4197533693,998,290
4197534692,999,290
4197535691,999,290
4197536695,1004,290
4197537693,998,290
4197538692,999,290
4197539691,999,290
4197540694,1003,290
4197541691,997,290
4197542693,1002,290
4197543691,998,290
4197544696,1005,290
