time,elapsed_time,compute_time
3837149736,1066,1033
3837150786,1050,1033
3837151831,1045,1054
3837152897,1066,1034
3837153942,1045,1033
3837154986,1044,1042
3837156040,1054,1034
3837157085,1045,1016
3837158113,1028,1016
3837159140,1027,1024
3837160176,1036,1016
3837161203,1027,1016
3837162230,1027,1016
3837163258,1028,1023
3837164292,1034,1018
3837165321,1029,1016
3837166348,1027,1019
3837167378,1030,1022
3837168412,1034,1016
3837169439,1027,1019
3837170470,1031,1016
3837171497,1027,1023
3837172532,1035,1016
3837173559,1027,1016
3837174586,1027,1016
3837175612,1026,1024
3837176650,1038,1016
3837177677,1027,1016
3837178704,1027,1016
3837179732,1028,1023
3837180766,1034,1016
3837181794,1028,1017
3837182821,1027,1016
3837183848,1027,1023
3837184882,1034,1016
3837185909,1027,1016
3837186936,1027,1016
3837187963,1027,1023
3837188996,1033,1016
3837190023,1027,1016
3837191051,1028,1023
3837192084,1033,1016
3837193112,1028,1016
3837194139,1027,1016
3837195165,1026,1025
3837196201,1036,1018
3837197230,1029,1018
3837198260,1030,1016
3837199287,1027,1022
3837200321,1034,1016
3837201348,1027,1016
3837202375,1027,1016
3837203402,1027,1023
3837204436,1034,1016
3837205462,1026,1015
3837206488,1026,1015
3837207514,1026,1023
3837208549,1035,1015
3837209574,1025,1015
3837210600,1026,1015
3837211626,1026,1023
3837212661,1035,1015
3837213687,1026,1015
3837214713,1026,1015
3837215739,1026,1021
3837216772,1033,1015
3837217798,1026,1016
3837218825,1027,1016
3837219852,1027,1022
3837220885,1033,1015
3837221911,1026,1015
3837222937,1026,1015
3837223964,1027,1024
3837224999,1035,1015
3837226025,1026,1015
3837227051,1026,1026
3837228089,1038,1015
3837229115,1026,1015
3837230141,1026,1017
3837231169,1028,1023
3837232204,1035,1017
3837233232,1028,1015
3837234258,1026,1015
3837235284,1026,1022
3837236317,1033,1015
3837237344,1027,1020
3837238375,1031,1015
3837239401,1026,1022
3837240435,1034,1016
3837241462,1027,1015
3837242488,1026,1015
3837243515,1027,1026
3837244552,1037,1016
3837245579,1027,1015
3837246605,1026,1015
3837247632,1027,1025
3837248669,1037,1015
3837249695,1026,1015
3837250722,1027,1015
3837251748,1026,1022
3837252781,1033,1016
3837253809,1028,1015
3837254835,1026,1015
3837255861,1026,1022
3837256895,1034,1015
3837257921,1026,1015
3837258947,1026,1015
3837259974,1027,1021
3837261006,1032,1017
3837262034,1028,1017
3837263062,1028,1024
3837264097,1035,1015
3837265124,1027,1015
3837266150,1026,1015
3837267177,1027,1024
3837268212,1035,1015
3837269238,1026,1015
3837270265,1027,1017
3837271293,1028,1028
3837272332,1039,1018
3837273362,1030,1019
3837274393,1031,1018
3837275422,1029,1023
3837276458,1036,1018
3837277487,1029,1018
3837278516,1029,1018
3837279545,1029,1025
3837280583,1038,1018
3837281612,1029,1022
3837282647,1035,1018
3837283676,1029,1026
3837284714,1038,1018
3837285743,1029,1022
3837286776,1033,1018
3837287805,1029,1026
3837288842,1037,1021
3837289874,1032,1018
3837290903,1029,1018
3837291932,1029,1026
3837292970,1038,1019
3837294000,1030,1017
3837295029,1029,1025
3837296065,1036,1018
3837297093,1028,1019
3837298124,1031,1017
3837299152,1028,1025
3837300188,1036,1020
3837301219,1031,1018
3837302248,1029,1017
3837303276,1028,1025
3837304312,1036,1018
3837305341,1029,1017
3837306369,1028,1018
3837307398,1029,1024
3837308433,1035,1017
3837309461,1028,1017
3837310490,1029,1021
3837311522,1032,1024
3837312557,1035,1018
3837313586,1029,1018
3837314615,1029,1017
3837315645,1030,1024
3837316680,1035,1017
3837317709,1029,1017
3837318737,1028,1017
3837319766,1029,1024
