time,elapsed_time,compute_time
4621347040,1009,980
4621348040,1000,972
4621349027,987,970
4621350012,985,970
4621351011,999,970
4621352014,1003,970
4621356009,3995,970
4621356994,985,972
4621357980,986,972
4621358967,987,972
4621359953,986,979
4621360946,993,972
4621361933,987,972
4621362918,985,972
4621368009,5091,971
4621368996,987,972
4621369982,986,972
4621370968,986,972
4621371954,986,978
4621372947,993,972
4621373933,986,973
4621374920,987,972
4621380009,5089,970
4621381005,996,970
4621381990,985,972
4621382977,987,972
4621383963,986,980
4621384958,995,973
4621385945,987,972
4621386931,986,972
4621392010,5079,971
4621392996,986,972
4621393983,987,973
4621394969,986,972
4621395955,986,977
4621396947,992,972
4621397933,986,972
4621398919,986,972
4621404009,5090,970
4621404993,984,972
4621405979,986,973
4621406966,987,973
4621407953,987,975
4621408943,990,972
4621409929,986,973
4621410915,986,971
4621416008,5093,971
4621416996,988,972
4621417982,986,972
4621418968,986,982
4621419979,1011,976
4621421027,1048,1068
4621422113,1086,972
4621423101,988,982
4621428012,4911,970
4621428999,987,972
4621429985,986,972
4621430971,986,972
4621431957,986,978
4621432950,993,972
4621433936,986,972
4621434922,986,972
4621436021,1099,970
4621440010,3989,970
4621440996,986,972
4621441982,986,972
4621442968,986,971
4621443953,985,975
4621444944,991,972
4621445929,985,972
4621446915,986,972
4621452031,5116,973
4621453021,990,970
4621454010,989,970
4621455010,1000,971
4621456013,1003,970
4621457010,997,970
4621458009,999,971
4621459010,1001,1023
4621464009,4999,971
4621464995,986,973
4621465983,988,972
4621466968,985,972
4621467954,986,977
4621468945,991,972
4621469931,986,972
4621470916,985,972
4621476007,5091,970
4621476993,986,972
4621477979,986,972
4621478965,986,972
4621479951,986,976
4621480942,991,972
4621481928,986,972
4621482913,985,972
4621488009,5096,970
4621488994,985,972
4621489980,986,973
4621490967,987,972
4621491952,985,975
4621492941,989,973
4621493928,987,972
4621494914,986,972
4621500009,5095,971
4621500995,986,972
4621501981,986,972
4621502967,986,972
4621503952,985,976
4621504943,991,972
4621505928,985,972
4621506914,986,972
4621512013,5099,971
4621512999,986,972
4621513984,985,974
4621514972,988,974
4621515960,988,976
4621516951,991,972
4621517937,986,972
4621518923,986,972
4621524008,5085,970
4621524992,984,975
4621525981,989,971
4621526966,985,971
4621527951,985,976
4621528942,991,972
4621529928,986,972
4621530913,985,972
4621536013,5100,970
4621537000,987,972
4621537986,986,972
4621538972,986,972
4621539957,985,976
4621540948,991,972
4621541934,986,972
4621542919,985,972
4621548010,5091,971
4621548996,986,972
4621549982,986,972
4621550967,985,972
4621551953,986,977
4621552945,992,975
4621553933,988,975
4621554922,989,973
4621560008,5086,972
4621561006,998,972
4621561992,986,975
4621562981,989,973
4621563969,988,978
4621564961,992,973
4621565948,987,974
4621566936,988,973
4621572012,5076,972
4621572999,987,974
4621573987,988,973
4621574974,987,973
4621575961,987,975
4621576950,989,973
4621577937,987,973
4621578925,988,974
4621584009,5084,972
4621584996,987,974
4621585984,988,973
4621586971,987,973
4621587959,988,979
4621588952,993,973
4621589939,987,975
4621590928,989,973
4621596009,5081,972
4621596995,986,975
4621597985,990,970
4621598969,984,970
4621599953,984,975
4621600943,990,971
4621601928,985,970
4621602911,983,970
4621608009,5098,969
4621608992,983,970
4621609976,984,970
4621610960,984,970
4621611944,984,975
4621612934,990,970
4621613918,984,970
4621614902,984,970
4621620009,5107,968
4621620992,983,970
4621621976,984,970
4621622960,984,970
4621623944,984,975
4621624934,990,970
4621625918,984,970
4621626902,984,970
4621632007,5105,968
4621632990,983,970
4621633975,985,970
4621634959,984,970
4621635943,984,974
4621636931,988,970
4621637915,984,970
4621638899,984,970
4621644008,5109,968
4621644992,984,971
4621645977,985,970
4621646961,984,970
4621647945,984,974
4621648934,989,970
4621649918,984,971
4621650903,985,970
4621656009,5106,968
4621656992,983,971
4621657976,984,971
4621658960,984,970
4621659944,984,976
4621660936,992,970
4621661920,984,970
4621662904,984,970
4621666807,3903,1152
4621667980,1173,976
4621668972,992,971
4621669957,985,970
4621670942,985,970
4621671926,984,974
4621672914,988,970
4621673898,984,970
4621680008,6110,969
4621680992,984,971
4621681977,985,970
4621682961,984,970
4621683945,984,979
4621684940,995,970
4621685925,985,970
4621686910,985,971
4621692008,5098,968
4621692991,983,971
4621693976,985,970
4621694960,984,970
4621695944,984,979
4621696938,994,971
4621697923,985,970
4621698908,985,970
4621700031,1123,973
4621704009,3978,971
4621704996,987,973
4621705983,987,972
4621706969,986,970
4621707953,984,975
4621708943,990,971
4621709927,984,970
